tensor([ 1.1351e+01,  3.3407e+00,  6.5259e+00,  8.8678e+00,  5.5337e+00,
         5.9272e+00,  1.0227e+01,  2.0619e+00,  6.5499e+00,  4.2873e+00,
         4.6090e+00,  5.0691e+00,  2.6495e+00,  3.4511e+00,  8.5500e+00,
         3.7421e+00,  8.9451e+00,  2.3989e+00,  6.8737e+00,  2.5030e+00,
         4.3758e+00,  9.0082e+00, -3.3716e+00,  2.9937e+00,  5.8566e+00,
         4.2942e+00,  6.7237e+00, -4.5630e+00, -2.2656e+00,  1.6641e+00,
         5.7148e-01,  7.4148e+00,  2.2460e+00,  5.3466e+00, -2.4929e+00,
        -6.7363e-02,  3.5313e+00,  1.4752e+00,  1.0554e+01,  4.8962e+00,
         4.4416e+00,  1.0778e+01,  3.4129e+00,  7.9879e+00,  7.2550e+00,
         1.5276e+00,  5.9673e+00,  5.3022e-01,  8.6766e+00,  3.4194e+00,
         4.7858e+00,  7.7958e+00,  1.6340e+00,  4.4161e+00,  1.1499e+00,
         4.6017e+00, -6.9948e-01,  9.5784e+00,  3.7677e+00,  5.4142e+00,
         8.6717e+00,  2.7636e+00,  4.4566e+00,  1.1434e+00,  8.9958e+00,
         6.8797e+00,  5.9404e+00,  2.4413e+00,  4.2098e+00,  4.8576e+00,
         7.2983e+00,  3.7468e+00,  8.0108e+00,  5.9078e+00,  1.0961e+01,
        -1.6634e+00,  3.1292e+00,  2.6897e+00,  7.5240e+00,  5.8211e+00,
         6.7555e+00,  4.3209e+00,  7.7981e+00,  5.5727e+00,  2.4135e+00,
        -7.3837e-01,  1.0840e+01, -6.4622e-01, -8.5412e-01,  5.9979e+00,
         4.3829e+00,  3.9125e+00,  7.4212e+00, -4.3921e+00,  1.6326e+00,
         3.7644e-01,  3.0863e+00,  7.6334e+00,  7.6583e+00,  5.5040e+00,
         6.5058e+00,  6.9670e+00,  7.8216e+00,  9.4220e-01,  3.6806e-01,
         1.2004e+01,  1.3667e+00,  1.1593e+00,  6.3678e+00,  4.3086e+00,
         2.9909e+00,  9.1246e+00, -1.8489e-01, -1.1849e-01,  5.9967e+00,
         1.0751e+01, -2.1126e+00,  1.4650e-01,  7.8858e+00,  1.6632e-01,
         5.9623e+00,  1.2593e+01,  1.5489e+00,  9.0610e+00, -1.8696e+00,
